0:01,this program is presented by university of california television like what you learn visit our website or
0:08,follow us on Facebook and Twitter to keep up with the latest UC TV programs
0:23,good morning everybody I'm Johanna Bella I'm the manager of the
0:29,science education program and I'm happy to welcome you to the science on Saturday this morning which is brought
0:35,to you in collaboration with the Livermore Valley Joint Unified School District so how many of you in the
0:40,audience have come to science on Saturday before this month oh that is awesome well welcome back and before we
0:48,get started I'm gonna go through my little introduction remember that if
0:53,need be if we have an emergency please follow all the ushers instructions let's
0:59,take a moment to silence our cellphones so we can give the presentation our full attention and please when we're done
1:05,with the presentation would you please stay in your seats for the Q&A so that everybody can hear the questions and
1:11,everybody can continue the learning process as our presenters answer the
1:18,questions you may have after listening to them so this year's presentation as
1:23,you already know women in stem science technology engineering and mathematics and we've talked about science and we've
1:30,talked about technology and we've talked about engineering so we must be at map and today we're gonna talk about
1:35,statistics in the world around us and we're gonna have a fabulous presentation our first presenter is dr. Anna kress
1:44,Ian who is the statistician at the laboratory she runs the group for applied statistics at the lab and she's
1:51,been at Livermore since 2009 she works on a variety of projects using her
1:58,statistical skills everything from stockpile stewardship to climate change which you'll hear about today and she
2:06,received her PhD from the University of Arizona mr. Richard Newton is right from
2:11,over the hill at Tracy high school he teaches math and computer science he got
2:16,his degree in an economics from UC Davis and he is the chairperson of the math
2:23,department currently so without further ado I'd like to introduce dr. Curtis Ian
2:28,and mr. Newton thank you
2:35,good morning everybody I'm here to help Ana talk about statistics in science I
2:42,hope that the talk is really engaging and I'm really excited to have you guys learn about where math can be applied
2:48,and in which ways to a variety of fields and without any further ado I'll turn it over to Hannah thank you thank you I'm
2:54,an occupation in enema applied statistician at Lawrence Livermore National Lab and if you don't know what
3:00,that means you will at the end of this talk it's great seeing you on Saturday
3:07,morning showing up for science and Saturday lecturing and we'll be talking about basketball medicine climate and
3:16,we'll see how statistics helps us understand everything around us and Richard is going to join us as Rana said
3:24,this is the fourth lecture in the stem series where M stands for mathematics and we'll be talking about mathematics
3:31,of chance in other words probability and statistics through some episodes from
3:37,history of statistics we'll see how statistics improves our understanding of the world in our lives so how many of
3:49,you have seen science technology and engineering lectures in the past three
3:55,Saturdays so what do you think
4:00,livermorium I chipped and National Ignition projects have in common they
4:09,they collect data they collect data and
4:15,they have to do data analysis to show discovery of a short-lived element
4:21,livermorium they have to do data analysis to study response of a human in
4:27,a box to a particular drug treatment or they have to analyze data on already
4:33,conducted NIT shots to inform what future shots they have to do in order to
4:40,produce more energy and ultimately create a small star on earth you can ask
4:47,how do they do this and the methods of data analysis have their roots in
4:55,statistics probability and mathematics statistical methods help us analyze data
5:02,and to learn about the world around us we humans we've been curious about the
5:09,world including other humans beings since day one collecting data and
5:15,summarizing them with numbers has been our way of describing and explaining a
5:21,world around us the practice of conducting census began in Egypt in the
5:28,second millennium BC they used census data for tax gathering and to determine
5:34,fitness for military purposes this collection of data for tax and military
5:41,continued in many countries around the world to present times census in general
5:49,means collecting data about every individual person or object in contrast
5:57,to the census data are those data collected by measuring apparatus at selected locations in times for example
6:05,imagine measuring temperature we cannot measure everywhere all the time
6:12,this was specially not possible in the 17th century when they'd are collected
6:18,across large geographical regions long time periods it's important to keep
6:24,procedures and records consistent otherwise individual researchers might
6:30,create records that are difficult to compare and reconcile the first
6:36,prescription on how to collect data and standardized weather measurements was
6:41,given by Robert Hooke in 1663 this was
6:47,one of early examples of statistics in public administration it defines and
6:52,standard for how data should be collected while data analysis is the
6:59,first thing we think of as a statistical goal data collection is equally
7:05,important the earliest set of actual instrumental measurements of temperature date back to
7:12,medici Network in 17th century these data were recorded every few hours at 11
7:20,different locations in Europe mostly through Italy using identical
7:25,thermometers even then people recognized that weather can change within a day and
7:32,the measurements need to be taken several times a day but in addition that
7:37,they recognized that there might be something we call today measurement
7:43,error by the 18th century the term statistics meant systematic collection
7:50,of demographic and economic data in the early 19th century the collection of
